Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,12.59333001,24.73867596,25.13688402,42.16027875,56.39621702,2.837232454,70.58237929,74.66401195,76.95370831,33.69835739,35.14186162,47.63563962,70.18417123,73.66849179,91.53807865,110.9009457,127.7252364,125.9830762,145.2463912,140.0199104,44.44997511,86.61025386,105.2264808,119.3628671,129.9651568,141.3638626,132.2548532,131.9064211,177.7003484,125.286212,149.1786959,150.223992,163.8128422
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-2.064208869,-3.751192635,-3.815637546,-1.61153117,3.612105009,7.512446579,11.94660617,14.05900068,10.56809151,12.26370492,15.28848674,18.88872104,25.23960609,34.57041006,38.44742018,40.91056356,46.85812148,55.05304737,48.10636461,52.03443725,49.33642917,55.05116766,61.36815405,67.51836837,63.38305173,64.87893582,67.64573024,69.73626832,72.23837508,53.40656493,56.55771144,54.38475822,
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-2.5734036,-37.72157963,-38.92272945,-42.33112039,-49.93498049,-51.50229279,-52.61789063,-51.39278626,-52.92929984,-65.22825269,-67.67161727,-67.75374718,-65.50544111,-69.44425433,-56.66621039,-51.80685785,-31.22989528,31.18198617,108.1582369,166.5423311,290.414756,234.2618575,184.0325782,167.8016563,185.623845,157.600438,176.0283348,171.4393265,148.0699473,141.3968928,171.3982616,182.6603244,197.970707
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,5.094504639,13.76635971,11.92411331,8.254325145,18.18493925,36.95908064,37.41648147,32.21526796,33.84201916,42.95375815,51.10258802,41.53311469,52.95566445,51.79535077,52.0774366,45.2162717,40.8890511,48.3705059,42.24882842,60.00977189,70.64535223,72.82188686,89.33262808,98.38822141,97.15012605,106.2196595,107.3786933,118.4698192,129.8408151,123.3263097,137.4481104,138.6041216,
Angola,AGO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,4.89550963,7.909569306,8.110803423,2.312411515,15.33831373,39.60661401,46.04699618,51.69490771,60.55455136,47.02467344,44.17890247,41.71333933,54.30560873,57.51734086,39.25133785,45.31774511,51.8676485,70.24228232,87.77903425,102.4798098,110.5834899,120.0771101,154.07321,175.0255995,194.7055838,178.573909,148.8010543,133.8135646,145.516308,84.41326008,124.9441264,143.555611,151.3636728
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-34.09330324,-64.43942814,-66.55079007,-64.72385252,-68.84875847,-69.07599699,-76.2151994,-71.18585403,-53.55003762,-51.35440181,-48.24228743,-39.70805117,-36.62603461,-33.57411588,-37.5696012,-37.77727615,-36.12641084,-36.8758465,-35.67193378,-31.42362679,-24.93303236,-31.7848006,-28.22723853,-23.31376975,-26.8096313,-31.82392777,-19.61625282,-20.15650865,-25.4552295,-31.36493604,-24.16403311,-30.63957863,-30.89841986
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,3.163990228,9.515322093,17.31826236,24.49927543,28.53678238,32.09914037,38.32038204,39.70121474,41.91389054,47.42323836,56.49510201,61.95695018,66.73124481,75.7738491,88.525158,98.31155792,106.0538286,120.9893321,128.9743307,142.6914952,149.145515,166.3382964,171.3284885,180.9287309,187.6028686,190.9582966,196.1272241,194.9871836,195.808132,184.7966331,204.5930322,213.05459,
United Arab Emirates,ARE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,13.77206984,9.905146288,15.86725402,27.56470654,36.06216469,42.19408096,48.18976367,52.01572926,56.71675374,55.49416745,77.99889607,81.97006026,91.28878701,102.1876472,115.2699358,123.5945971,141.0790752,188.7305845,190.6378543,202.2692116,211.6048137,225.2394195,242.6460248,247.8847763,263.2065687,273.0508933,259.0554005,228.8159458,247.4259768,243.6441333,253.8997954,263.6987674,262.1022859
Argentina,ARG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,5.395078832,7.309687027,11.0659403,14.46855699,16.05068891,26.33359817,30.68124199,37.74948197,39.67666657,36.50551565,31.10115423,23.8227086,34.99105678,49.45242725,53.39203654,62.31320044,72.83186742,78.97713889,64.60579952,77.0720129,84.52832486,88.5121512,92.87786113,89.7261737,95.88472026,93.80661878,91.02084489,89.48342909,82.94369762,69.80175191,90.30498784,93.11930818,83.4342773
